keyboard_id,primitive,count
adiga_danef,any(,1
adiga_danef,index(,1
adiga_danef,store(,9
adiga_danef,use(,1
adinkra,store(,8
adinkra,use(,1
afghan_turkmen,mobile:developed,1
afghan_turkmen,nul,2
afghan_turkmen,store(,9
afghan_turkmen,use(,1
ahom_star,mobile:developed,1
ahom_star,nul,4
ahom_star,store(,10
ahom_star,use(,1
akan,store(,8
akan,use(,1
akha_lahu,any(,1
akha_lahu,index(,1
akha_lahu,store(,11
akha_lahu,use(,1
aksarabali_panlex,any(,42
aksarabali_panlex,context,29
aksarabali_panlex,if(,5
aksarabali_panlex,index(,16
aksarabali_panlex,mobile:developed,1
aksarabali_panlex,nul,4
aksarabali_panlex,outs(,24
aksarabali_panlex,platform(,40
aksarabali_panlex,set(,11
aksarabali_panlex,store(,54
aksarabali_panlex,use(,2
alephwithbeth,any(,23
alephwithbeth,index(,14
alephwithbeth,nul,19
alephwithbeth,store(,19
alephwithbeth,use(,1
alkelang,any(,5
alkelang,context,2
alkelang,if(,9
alkelang,mobile:developed,1
alkelang,nomatch,2
alkelang,nul,1
alkelang,store(,11
alkelang,use(,7
amazigh_latin,any(,1
amazigh_latin,caps,62
amazigh_latin,dk(,3
amazigh_latin,index(,1
amazigh_latin,match,1
amazigh_latin,mobile:developed,1
amazigh_latin,store(,10
amazigh_latin,use(,2
amuzgo_guerrero,any(,6
amuzgo_guerrero,index(,6
amuzgo_guerrero,match,1
amuzgo_guerrero,nul,4
amuzgo_guerrero,store(,19
amuzgo_guerrero,use(,2
anglo_furthorc_english,store(,8
anglo_furthorc_english,use(,1
anii,mobile:developed,1
anii,store(,10
anii,use(,1
arabic_izza,mobile:developed,1
arabic_izza,store(,12
arabic_izza,use(,1
arabic_w_o_dots,mobile:developed,1
arabic_w_o_dots,store(,10
arabic_w_o_dots,use(,1
aramaic_hebrew,store(,10
aramaic_hebrew,use(,1
arbore,mobile:developed,1
arbore,store(,8
arbore,use(,1
armenian_mnemonic,any(,20
armenian_mnemonic,caps,354
armenian_mnemonic,context,20
armenian_mnemonic,dk(,1378
armenian_mnemonic,if(,302
armenian_mnemonic,index(,20
armenian_mnemonic,match,1
armenian_mnemonic,mobile:developed,1
armenian_mnemonic,notany(,20
armenian_mnemonic,set(,36
armenian_mnemonic,store(,45
armenian_mnemonic,use(,2
armenian_mnemonic_r,any(,18
armenian_mnemonic_r,caps,292
armenian_mnemonic_r,context,18
armenian_mnemonic_r,dk(,1148
armenian_mnemonic_r,if(,30
armenian_mnemonic_r,index(,18
armenian_mnemonic_r,match,1
armenian_mnemonic_r,mobile:developed,1
armenian_mnemonic_r,notany(,18
armenian_mnemonic_r,set(,12
armenian_mnemonic_r,store(,40
armenian_mnemonic_r,use(,2
assyrian_audo,mobile:developed,1
assyrian_audo,store(,9
assyrian_audo,use(,1
athinkra_mwangwego,any(,631
athinkra_mwangwego,beep,321
athinkra_mwangwego,context,473
athinkra_mwangwego,deadkey(,233
athinkra_mwangwego,index(,11
athinkra_mwangwego,mobile:developed,1
athinkra_mwangwego,nomatch,3
athinkra_mwangwego,notany(,1
athinkra_mwangwego,nul,13
athinkra_mwangwego,outs(,39
athinkra_mwangwego,store(,198
athinkra_mwangwego,use(,1
athinkra_vai,any(,2
athinkra_vai,index(,1
athinkra_vai,nul,3
athinkra_vai,store(,10
athinkra_vai,use(,1
athinkra_vai_typewriter,any(,2
athinkra_vai_typewriter,index(,1
athinkra_vai_typewriter,nul,3
athinkra_vai_typewriter,store(,10
athinkra_vai_typewriter,use(,1
ausephon,store(,8
ausephon,use(,1
avestan_phonetic,any(,3
avestan_phonetic,index(,3
avestan_phonetic,store(,15
avestan_phonetic,use(,1
balochi_inpage,mobile:developed,1
balochi_inpage,nul,3
balochi_inpage,store(,12
balochi_inpage,use(,1
balochi_latin,caps,52
